id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,availableBikes,stAddress1,stAddress2,city,postalCode,location,altitude,testStation,lastCommunicationTime,landMark
241,DeKalb Ave & S Portland Ave,18,23,40.68981035,-73.97493121,In Service,1,5,DeKalb Ave & S Portland Ave,,,11201,,,false,2016-12-04 03:10:23 AM,
242,Carlton Ave & Flushing Ave,14,23,40.697787,-73.973736,In Service,1,9,Carlton Ave & Flushing Ave,,,11205,,,false,2016-12-04 03:07:04 AM,
243,Fulton St & Rockwell Pl,13,31,40.688226,-73.979382,In Service,1,17,Fulton St & Rockwell Pl,,,11217,,,false,2016-12-04 03:07:06 AM,
244,Willoughby Ave & Hall St,23,31,40.69196035,-73.96536851,In Service,1,7,Willoughby Ave & Hall St,,,11205,,,false,2016-12-04 03:07:26 AM,
245,Myrtle Ave & St Edwards St,21,23,40.69327018,-73.97703874,In Service,1,2,Myrtle Ave & St Edwards St,,,11205,,,false,2016-12-04 03:09:33 AM,
247,Perry St & Bleecker St,2,20,40.73535398,-74.00483091,In Service,1,17,Perry St & Bleecker St,,,10014,,,false,2016-12-04 03:08:06 AM,
248,Laight St & Hudson St,20,23,40.72185379,-74.00771779,In Service,1,2,Laight St & Hudson St,,,10013,,,false,2016-12-04 03:08:17 AM,
249,Harrison St & Hudson St,25,27,40.71870987,-74.0090009,In Service,1,2,Harrison St & Hudson St,,,10013,,,false,2016-12-04 03:08:50 AM,
251,Mott St & Prince St,12,27,40.72317958,-73.99480012,In Service,1,15,Mott St & Prince St,,,10012,,,false,2016-12-04 03:10:19 AM,
252,MacDougal St & Washington Sq,5,33,40.73226398,-73.99852205,In Service,1,28,MacDougal St & Washington Sq,,,10012,,,false,2016-12-04 03:09:57 AM,
253,W 13 St & 5 Ave,18,55,40.73543934,-73.99453948,In Service,1,37,W 13 St & 5 Ave,,,10011,,,false,2016-12-04 03:06:44 AM,
254,W 11 St & 6 Ave,8,31,40.73532427,-73.99800419,In Service,1,23,W 11 St & 6 Ave,,,10011,,,false,2016-12-04 03:08:01 AM,
257,Lispenard St & Broadway,1,39,40.71939226,-74.00247214,In Service,1,37,Lispenard St & Broadway,,,11205,,,false,2016-12-04 03:07:34 AM,
258,DeKalb Ave & Vanderbilt Ave,21,23,40.68940747,-73.96885458,In Service,1,2,DeKalb Ave & Vanderbilt Ave,,,11205,,,false,2016-12-04 03:06:55 AM,
259,South St & Whitehall St,24,39,40.70122128,-74.01234218,In Service,1,15,South St & Whitehall St,,,10004,,,false,2016-12-04 03:07:45 AM,
260,Broad St & Bridge St,25,35,40.70365182,-74.01167797,In Service,1,9,Broad St & Bridge St,,,10004,,,false,2016-12-04 03:09:12 AM,
261,Johnson St & Gold St,9,27,40.69474881,-73.98362464,In Service,1,17,Johnson St & Gold St,,,11201,,,false,2016-12-04 03:08:42 AM,
262,Washington Park,22,24,40.6917823,-73.9737299,In Service,1,2,Washington Park,,,11225,,,false,2016-12-04 03:10:27 AM,
264,Maiden Ln & Pearl St,6,27,40.70706456,-74.00731853,In Service,1,21,Maiden Ln & Pearl St,,,10038,,,false,2016-12-04 03:06:50 AM,
265,Stanton St & Chrystie St,12,35,40.72229346,-73.99147535,In Service,1,22,Stanton St & Chrystie St,,,10002,,,false,2016-12-04 03:06:45 AM,
266,Avenue D & E 8 St,19,24,40.72368361,-73.97574813,In Service,1,4,Avenue D & E 8 St,,,10009,,,false,2016-12-04 03:08:57 AM,
267,Broadway & W 36 St,45,57,40.75097711,-73.98765428,In Service,1,11,Broadway & W 36 St,,,10018,,,false,2016-12-04 03:08:02 AM,
268,Howard St & Centre St,11,27,40.71910537,-73.99973337,In Service,1,16,Howard St & Centre St,,,10013,,,false,2016-12-04 03:07:42 AM,
270,Adelphi St & Myrtle Ave,19,23,40.69308257,-73.97178913,In Service,1,4,Adelphi St & Myrtle Ave,,,11205,,,false,2016-12-04 03:07:30 AM,
274,Lafayette Ave & Fort Greene Pl,12,31,40.68691865,-73.976682,In Service,1,18,Lafayette Ave & Fort Greene Pl,,,11217,,,false,2016-12-04 03:07:38 AM,
275,Washington Ave & Greene Ave,11,19,40.68650065,-73.96563307,In Service,1,8,Washington Ave & Greene Ave,,,11238,,,false,2016-12-04 03:09:43 AM,
276,Duane St & Greenwich St,10,25,40.71748752,-74.0104554,In Service,1,15,Duane St & Greenwich St,,,10013,,,false,2016-12-04 03:06:53 AM,
278,Concord St & Bridge St,17,19,40.69766564,-73.98476437,In Service,1,2,Concord St & Bridge St,,,11201,,,false,2016-12-04 03:09:31 AM,
279,Peck Slip & Front St,0,36,40.707873,-74.00167,In Service,1,35,Peck Slip & Front St,,,10038,,,false,2016-12-04 03:10:28 AM,
280,E 10 St & 5 Ave,2,31,40.73331967,-73.99510132,In Service,1,29,E 10 St & 5 Ave,,,10011,,,false,2016-12-04 03:08:47 AM,
281,Grand Army Plaza & Central Park S,35,59,40.7643971,-73.97371465,In Service,1,24,Grand Army Plaza & Central Park S,,,10019,,,false,2016-12-04 03:09:42 AM,
282,Kent Ave & S 11 St,15,27,40.707644944176,-73.968415260315,In Service,1,10,Kent Ave & S 11 St,,,11249,,,false,2016-12-04 03:07:17 AM,
284,Greenwich Ave & 8 Ave,2,43,40.7390169121,-74.0026376103,In Service,1,40,Greenwich Ave & 8 Ave,,,10011,,,false,2016-12-04 03:09:00 AM,
285,Broadway & E 14 St,18,47,40.73454567,-73.99074142,In Service,1,28,Broadway & E 14 St,,,10003,,,false,2016-12-04 03:06:53 AM,
289,Monroe St & Classon Ave,8,19,40.6845683,-73.95881081,In Service,1,11,Monroe St & Classon Ave,,,11238,,,false,2016-12-04 03:08:33 AM,
291,Madison St & Montgomery St,3,20,40.713126,-73.984844,In Service,1,17,Madison St & Montgomery St,,,10002,,,false,2016-12-04 03:09:38 AM,
293,Lafayette St & E 8 St,6,55,40.73028666,-73.9907647,In Service,1,48,Lafayette St & E 8 St,,,10003,,,false,2016-12-04 03:10:05 AM,
295,Pike St & E Broadway,5,24,40.71406667,-73.99293911,In Service,1,19,Pike St & E Broadway,,,10002,,,false,2016-12-04 03:08:57 AM,
296,Division St & Bowery,3,35,40.71413089,-73.9970468,In Service,1,32,Division St & Bowery,,,10002,,,false,2016-12-04 03:07:41 AM,
297,E 15 St & 3 Ave,6,27,40.734232,-73.986923,In Service,1,19,E 15 St & 3 Ave,,,10003,,,false,2016-12-04 03:09:50 AM,
298,3 Ave & Schermerhorn St,25,35,40.68683208,-73.9796772,In Service,1,9,3 Ave & Schermerhorn St,,,11217,,,false,2016-12-04 03:09:44 AM,
301,E 2 St & Avenue B,16,37,40.72217444,-73.98368779,In Service,1,21,E 2 St & Avenue B,,,10009,,,false,2016-12-04 03:09:26 AM,
302,Avenue D & E 3 St,7,23,40.72082834,-73.97793172,In Service,1,15,Avenue D & E 3 St,,,10009,,,false,2016-12-04 03:07:27 AM,
303,Mercer St & Spring St,13,31,40.72362738,-73.99949601,In Service,1,17,Mercer St & Spring St,,,10012,,,false,2016-12-04 03:09:35 AM,
304,Broadway & Battery Pl,12,34,40.70463334,-74.01361706,In Service,1,22,Broadway & Battery Pl,,,10004,,,false,2016-12-04 03:07:52 AM,
305,E 58 St & 3 Ave,26,33,40.76095756,-73.96724467,In Service,1,5,E 58 St & 3 Ave,,,10155,,,false,2016-12-04 03:07:48 AM,
306,Cliff St & Fulton St,0,37,40.70823502,-74.00530063,In Service,1,37,Cliff St & Fulton St,,,10038,,,false,2016-12-04 03:07:15 AM,
307,Canal St & Rutgers St,4,29,40.71427487,-73.98990025,In Service,1,23,Canal St & Rutgers St,,,10002,,,false,2016-12-04 03:09:01 AM,
308,St James Pl & Oliver St,2,27,40.71307916,-73.99851193,In Service,1,24,St James Pl & Oliver St,,,10038,,,false,2016-12-04 03:08:23 AM,
309,Murray St & West St,8,41,40.7149787,-74.013012,In Service,1,32,Murray St & West St,,,10007,,,false,2016-12-04 03:09:39 AM,
310,State St & Smith St,34,36,40.68926942,-73.98912867,In Service,1,2,State St & Smith St,,,11201,,,false,2016-12-04 03:06:51 AM,
311,Norfolk St & Broome St,4,31,40.7172274,-73.98802084,In Service,1,27,Norfolk St & Broome St,,,10002,,,false,2016-12-04 03:09:52 AM,
312,Allen St & Stanton St,15,31,40.722055,-73.989111,In Service,1,15,Allen St & Stanton St,,,10002,,,false,2016-12-04 03:08:28 AM,
313,Washington Ave & Park Ave,10,23,40.69610226,-73.96751037,In Service,1,13,Washington Ave & Park Ave,,,11205,,,false,2016-12-04 03:07:55 AM,
315,South St & Gouverneur Ln,11,29,40.70355377,-74.00670227,In Service,1,17,South St & Gouverneur Ln,,,10005,,,false,2016-12-04 03:09:34 AM,
316,Fulton St & William St,26,43,40.70955958,-74.00653609,In Service,1,16,Fulton St & William St,,,10038,,,false,2016-12-04 03:08:39 AM,
317,E 6 St & Avenue B,1,27,40.72453734,-73.98185424,In Service,1,26,E 6 St & Avenue B,,,10009,,,false,2016-12-04 03:10:11 AM,
319,Fulton St & Broadway,17,33,40.711066,-74.009447,In Service,1,15,Fulton St & Broadway,,,10038,,,false,2016-12-04 03:10:28 AM,
320,Leonard St & Church St,23,39,40.717571,-74.005549,In Service,1,16,Leonard St & Church St,,,10013,,,false,2016-12-04 03:09:03 AM,
321,Cadman Plaza E & Red Cross Pl,19,27,40.69991755,-73.98971773,In Service,1,8,Cadman Plaza E & Red Cross Pl,,,11201,,,false,2016-12-04 03:09:40 AM,
322,Clinton St & Tillary St,31,31,40.696192,-73.991218,In Service,1,0,Clinton St & Tillary St,,,11201,,,false,2016-12-04 03:09:09 AM,
323,Lawrence St & Willoughby St,29,39,40.69236178,-73.98631746,In Service,1,8,Lawrence St & Willoughby St,,,11201,,,false,2016-12-04 03:08:37 AM,
324,DeKalb Ave & Hudson Ave,16,51,40.689888,-73.981013,In Service,1,34,DeKalb Ave & Hudson Ave,,,11201,,,false,2016-12-04 03:07:42 AM,
325,E 19 St & 3 Ave,0,35,40.73624527,-73.98473765,In Service,1,34,E 19 St & 3 Ave,,,10003,,,false,2016-12-04 03:08:13 AM,
326,E 11 St & 1 Ave,5,27,40.72953837,-73.98426726,In Service,1,22,E 11 St & 1 Ave,,,10009,,,false,2016-12-04 03:09:03 AM,
327,Vesey Pl & River Terrace,21,39,40.7153379,-74.01658354,In Service,1,16,Vesey Pl & River Terrace,,,10282,,,false,2016-12-04 03:07:15 AM,
328,Watts St & Greenwich St,17,23,40.72405549,-74.00965965,In Service,1,6,Watts St & Greenwich St,,,10013,,,false,2016-12-04 03:08:53 AM,
330,Reade St & Broadway,20,39,40.71450451,-74.00562789,In Service,1,19,Reade St & Broadway,,,10007,,,false,2016-12-04 03:08:37 AM,
331,Pike St & Monroe St,13,27,40.71173107,-73.99193043,In Service,1,14,Pike St & Monroe St,,,10002,,,false,2016-12-04 03:10:08 AM,
332,Cherry St,8,24,40.71219906,-73.97948148,In Service,1,15,Cherry St,,,10002,,,false,2016-12-04 03:07:50 AM,
334,W 20 St & 7 Ave,2,31,40.74238787,-73.99726235,In Service,1,28,W 20 St & 7 Ave,,,10011,,,false,2016-12-04 03:08:07 AM,
