STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,9/2/13,0.05,0,0,82,74,0.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,9/3/13,0.03,0,0,82,68,2.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,9/4/13,0,0,0,82,65,5.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,9/5/13,0,0,0,80,64,5.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,9/6/13,0,0,0,72,57,3.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,9/7/13,0,0,0,80,59,3.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,9/8/13,0,0,0,83,64,6.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,9/9/13,0,0,0,73,57,4.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,9/10/13,0.01,0,0,87,68,5.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,9/11/13,0,0,0,96,77,4.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,9/12/13,1.6,0,0,87,70,4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,9/13/13,0.06,0,0,77,59,5.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,9/14/13,0,0,0,67,54,4.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,9/15/13,0,0,0,73,51,3.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,9/16/13,0.03,0,0,73,56,4.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,9/17/13,0,0,0,65,50,4.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,9/18/13,0,0,0,72,51,2.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,9/19/13,0,0,0,78,55,2.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,9/20/13,0,0,0,79,60,3.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,9/21/13,0.72,0,0,77,61,4.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,9/22/13,0.45,0,0,69,54,5.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,9/23/13,0,0,0,66,50,4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,9/24/13,0,0,0,73,47,4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,9/25/13,0,0,0,73,52,1.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,9/26/13,0,0,0,71,58,3.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,9/27/13,0,0,0,69,57,4.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,9/28/13,0,0,0,73,56,4.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,9/29/13,0,0,0,72,57,3.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,9/30/13,0,0,0,75,56,3.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,10/1/13,0,0,0,82,59,2
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,10/2/13,0,0,0,83,64,4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,10/3/13,0,0,0,78,63,1.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,10/4/13,0,0,0,86,66,2.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,10/5/13,0,0,0,76,64,3.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,10/6/13,0,0,0,70,65,5.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,10/7/13,0.25,0,0,76,60,5.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,10/8/13,0,0,0,67,54,6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,10/9/13,0,0,0,62,53,8.5
